,CountryName,CityName,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Cappuccino (regular),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Level of crime,Skill and competency of medical staff,Air Pollution,Drinking Water Pollution and Inaccessibility,Dissatisfaction with Green and Parks in the City,Quality of Life Index:,Traffic Index:,id
57,Brazil,Belem,3.45,22.02,5.75,1.23,2.49,0.77,47.88,1.15,1.7,4.89,16277.6,93.36,18.67,239.38,4787.53,370.24,242.57,638.34,465.99,124.54,84.51,507.48,13.67,88.64,44.64,18.75,65.62,75.0,98.24,93.39,BrazilBelem
58,Brazil,Belo Horizonte,4.21,28.73,5.75,1.35,1.92,0.86,32.75,1.01,2.0,5.0,22980.14,73.15,19.72,270.23,4461.98,274.49,185.92,537.57,388.89,157.66,87.79,327.02,10.77,74.85,72.08,48.08,20.83,50.82,107.01,187.23,BrazilBelo Horizonte
59,Brazil,Brasilia,5.75,38.3,6.69,1.5,2.3,1.05,48.92,1.04,1.54,5.09,22980.14,84.53,21.29,349.74,9240.8,386.65,216.17,842.52,508.85,194.35,121.22,614.04,9.69,69.35,54.63,24.0,25.0,23.98,135.8,130.94,BrazilBrasilia
60,Brazil,Campinas,5.75,34.47,6.51,1.64,1.92,1.03,51.71,0.96,1.19,4.7,21065.13,69.27,18.81,288.85,10111.26,337.52,225.55,578.76,442.85,134.85,111.19,636.81,8.73,78.16,73.61,38.57,28.23,56.03,133.1,114.46,BrazilCampinas
61,Brazil,Campo Grande,3.54,19.15,5.75,1.21,2.11,0.84,60.57,0.78,0.96,4.72,16756.35,54.65,17.95,124.48,2240.56,255.33,162.78,453.22,220.23,53.37,32.02,252.7,9.25,63.79,66.07,7.14,14.77,11.36,137.09,189.9,BrazilCampo Grande
62,Brazil,Curitiba,4.4,27.77,5.75,1.71,1.92,1.05,44.05,1.03,0.83,4.84,18479.86,67.42,22.65,275.76,5891.85,303.21,200.48,495.65,407.26,160.67,109.71,513.95,9.8,72.18,71.88,27.44,19.33,9.12,140.12,131.02,BrazilCuritiba
63,Brazil,Florianopolis,5.65,36.39,6.7,1.67,2.11,0.94,41.94,1.48,0.77,4.91,17885.25,81.16,23.24,405.34,7787.71,355.34,250.42,700.89,523.44,173.46,124.54,477.87,8.57,55.93,63.97,17.71,41.67,48.91,124.86,197.94,BrazilFlorianopolis
64,Brazil,Fortaleza,5.17,22.98,6.32,1.6,1.92,0.75,17.71,0.93,0.92,4.83,18192.61,80.99,17.3,268.1,6606.79,194.69,124.48,434.71,265.12,129.75,61.0,239.38,9.43,89.75,57.5,35.53,47.37,60.53,82.81,187.84,BrazilFortaleza
65,Brazil,Goiania,4.21,26.81,5.36,1.57,2.87,0.86,29.44,0.67,2.77,4.96,26810.16,100.29,19.01,280.87,3983.22,260.92,164.69,421.3,370.24,97.26,74.13,318.59,9.29,73.15,86.84,28.85,23.08,17.31,128.36,118.26,BrazilGoiania
66,Brazil,Guarulhos,5.75,22.98,5.75,1.48,2.3,0.96,38.3,0.84,1.1,4.81,13654.03,33.51,19.15,253.74,6957.88,248.95,197.88,430.88,354.28,179.69,115.85,306.4,7.8,75.0,64.29,32.14,12.5,42.86,97.76,301.34,BrazilGuarulhos
